Periodo,Valore_NIC
2004-01,82.0
2004-02,82.2
2004-03,82.5
2004-04,82.7
2004-05,82.9
2004-06,83.1
2004-07,83.1
2004-08,83.3
2004-09,83.3
2004-10,83.3
2004-11,83.3
2004-12,83.5
2005-01,83.5
2005-02,83.8
2005-03,84.1
2005-04,84.3
2005-05,84.5
2005-06,84.5
2005-07,84.8
2005-08,84.9
2005-09,84.9
2005-10,85.2
2005-11,85.2
2005-12,85.2
2006-01,85.4
2006-02,85.7
2006-03,85.9
2006-04,86.1
2006-05,86.3
2006-06,86.4
2006-07,86.7
2006-08,86.8
2006-09,86.8
2006-10,86.7
2006-11,86.8
2006-12,86.8
2007-01,86.9
2007-02,87.2
2007-03,87.3
2007-04,87.4
2007-05,87.7
2007-06,87.9
2007-07,88.1
2007-08,88.2
2007-09,88.2
2007-10,88.5
2007-11,88.8
2007-12,89.1
2008-01,89.5
2008-02,89.7
2008-03,90.1
2008-04,90.3
2008-05,90.8
2008-06,91.3
2008-07,91.7
2008-08,91.8
2008-09,91.5
2008-10,91.5
2008-11,91.3
2008-12,91.1
2009-01,91.0
2009-02,91.2
2009-03,91.3
2009-04,91.4
2009-05,91.6
2009-06,91.7
2009-07,91.7
2009-08,92.0
2009-09,91.7
2009-10,91.8
2009-11,91.8
2009-12,92.0
2010-01,92.2
2010-02,92.2
2010-03,92.5
2010-04,92.8
2010-05,92.9
2010-06,92.9
2010-07,93.2
2010-08,93.4
2010-09,93.2
2010-10,93.4
2010-11,93.4
2010-12,93.8
2011-01,94.1
2011-02,94.4
2011-03,94.8
2011-04,95.3
2011-05,95.3
2011-06,95.4
2011-07,95.7
2011-08,96.0
2011-09,96.0
2011-10,96.6
2011-11,96.5
2011-12,96.8
2012-01,97.1
2012-02,97.5
2012-03,98.0
2012-04,98.4
2012-05,98.4
2012-06,98.6
2012-07,98.7
2012-08,99.1
2012-09,99.1
2012-10,99.1
2012-11,98.9
2012-12,99.1
2013-01,99.3
2013-02,99.3
2013-03,99.5
2013-04,99.5
2013-05,99.5
2013-06,99.8
2013-07,99.9
2013-08,100.3
2013-09,100.0
2013-10,99.8
2013-11,99.5
2013-12,99.7
2014-01,99.9
2014-02,99.8
2014-03,99.9
2014-04,100.1
2014-05,100.0
2014-06,100.1
2014-07,100.0
2014-08,100.2
2014-09,99.8
2014-10,99.9
2014-11,99.7
2014-12,99.7
2015-01,99.3
2015-02,99.7
2015-03,99.8
2015-04,100.0
2015-05,100.1
2015-06,100.3
2015-07,100.2
2015-08,100.4
2015-09,100.0
2015-10,100.2
2015-11,99.8
2015-12,99.8
2016-01,99.6
2016-02,99.4
2016-03,99.6
2016-04,99.5
2016-05,99.8
2016-06,99.9
2016-07,100.1
2016-08,100.3
2016-09,100.1
2016-10,100.0
2016-11,99.9
2016-12,100.3
2017-01,100.6
2017-02,101.0
2017-03,101.0
2017-04,101.4
2017-05,101.2
2017-06,101.1
2017-07,101.2
2017-08,101.5
2017-09,101.2
2017-10,101.0
2017-11,100.8
2017-12,101.2
2018-01,101.5
2018-02,101.5
2018-03,101.8
2018-04,101.9
2018-05,102.2
2018-06,102.4
2018-07,102.7
2018-08,103.1
2018-09,102.6
2018-10,102.6
2018-11,102.4
2018-12,102.3
2019-01,102.4
2019-02,102.5
2019-03,102.8
2019-04,103.0
2019-05,103.0
2019-06,103.1
2019-07,103.1
2019-08,103.5
2019-09,102.9
2019-10,102.8
2019-11,102.6
2019-12,102.8
2020-01,102.9
2020-02,102.8
2020-03,102.9
2020-04,103.0
2020-05,102.8
2020-06,102.9
2020-07,102.7
2020-08,103.0
2020-09,102.3
2020-10,102.5
2020-11,102.4
2020-12,102.6
2021-01,103.3
2021-02,103.4
2021-03,103.7
2021-04,104.1
2021-05,104.1
2021-06,104.2
2021-07,104.7
2021-08,105.1
2021-09,104.9
2021-10,105.6
2021-11,106.2
2021-12,106.6
2022-01,108.3
2022-02,109.3
2022-03,110.4
2022-04,110.3
2022-05,111.2
2022-06,112.5
2022-07,113.0
2022-08,113.9
2022-09,114.2
2022-10,118.1
2022-11,118.7
2022-12,119.0
2023-01,119.1
2023-02,119.3
2023-03,118.8
2023-04,119.3
2023-05,119.7
2023-06,119.7
2023-07,119.7
2023-08,120.1
2023-09,120.3
2023-10,120.1
2023-11,119.5
2023-12,119.7
2024-01,120.1
2024-02,120.2
2024-03,120.2
2024-04,120.3
2024-05,120.6
2024-06,120.7
2024-07,121.2
2024-08,121.4
2024-09,121.2
2024-10,121.2
2024-11,121.1
2024-12,121.2
