order,seasonal_order,AIC,BIC,LogLikelihood,LjungBox_pvalue,Converged
"(0, 0, 0)","(0, 0, 0, 12)",245.9876718056271,253.03857768389065,-120.99383590281354,4.871090177632886e-10,True
"(0, 0, 0)","(0, 0, 1, 12)",422.7286442866457,433.3050031040411,-208.36432214332285,1.1804726576840608e-08,True
"(0, 0, 0)","(1, 0, 0, 12)",405.2191901544688,415.79554897186415,-199.6095950772344,1.2830021530298067e-09,True
"(0, 0, 0)","(1, 0, 1, 12)",413.40681236070725,427.5086241172344,-202.70340618035362,1.6585817531744874e-14,True
"(0, 0, 1)","(0, 0, 0, 12)",252.54874762621893,263.1251064436143,-123.27437381310946,9.828885476973284e-06,True
"(0, 0, 1)","(0, 0, 1, 12)",430.3895471352645,444.4913588917916,-211.19477356763224,5.696275516025506e-05,True
"(0, 0, 1)","(1, 0, 0, 12)",396.4151172373471,410.5169289938742,-194.20755861867354,3.272679499917826e-05,True
"(0, 0, 1)","(1, 0, 1, 12)",417.86566751026317,435.4929322059221,-203.93283375513158,4.0884776759453736e-07,True
"(0, 0, 2)","(0, 0, 0, 12)",256.48271737558497,270.5845291321121,-124.24135868779248,0.013083156434873117,True
"(0, 0, 2)","(0, 0, 1, 12)",437.3695138401565,454.99677853581545,-213.68475692007826,0.018822813904044573,True
"(0, 0, 2)","(1, 0, 0, 12)",388.1112561759711,405.73852087163004,-189.05562808798555,0.013009799127553182,True
"(0, 0, 2)","(1, 0, 1, 12)",428.66559927575497,449.81831691054566,-208.33279963787749,0.00042249657682587614,True
"(1, 0, 0)","(0, 0, 0, 12)",231.3408264892454,241.91718530664073,-112.6704132446227,0.0002722210484742886,True
"(1, 0, 0)","(0, 0, 1, 12)",410.2434522418185,424.3452639983456,-201.12172612090924,0.0009302962463662544,True
"(1, 0, 0)","(1, 0, 0, 12)",406.97007322452976,421.0718849810569,-199.48503661226488,0.0008443595396387003,True
"(1, 0, 0)","(1, 0, 1, 12)",396.7329992815397,414.36026397719866,-193.36649964076986,0.0001945522995411034,True
"(1, 0, 1)","(0, 0, 0, 12)",221.87904792585135,235.98085968237848,-106.93952396292568,0.18377538305528393,True
"(1, 0, 1)","(0, 0, 1, 12)",408.7851040762715,426.41236877193046,-199.39255203813576,0.19166644372848932,True
"(1, 0, 1)","(1, 0, 0, 12)",391.5775239038747,409.20478859953363,-190.78876195193735,0.17756025069238235,True
"(1, 0, 1)","(1, 0, 1, 12)",402.23815052850165,423.39086816329234,-195.11907526425082,0.09923471483404361,True
"(1, 0, 2)","(0, 0, 0, 12)",239.07509982709263,256.70236452275157,-114.53754991354631,0.20667370208475225,True
"(1, 0, 2)","(0, 0, 1, 12)",426.3964840540434,447.5492016888341,-207.1982420270217,0.20620235027136283,True
"(1, 0, 2)","(1, 0, 0, 12)",393.4377353419968,414.5904529767875,-190.7188676709984,0.18649172927738158,True
"(1, 0, 2)","(1, 0, 1, 12)",420.1483565929593,444.8265271668818,-203.07417829647966,0.09674231062561651,True
"(2, 0, 0)","(0, 0, 0, 12)",231.28870733581778,245.3905190923449,-111.64435366790889,0.06672737752349822,True
"(2, 0, 0)","(0, 0, 1, 12)",400.3295430037922,417.95680769945113,-195.1647715018961,0.06677170981650517,True
"(2, 0, 0)","(1, 0, 0, 12)",414.06258986042343,431.68985455608237,-202.03129493021171,0.05377760360264116,True
"(2, 0, 0)","(1, 0, 1, 12)",408.95066082141125,430.10337845620194,-198.47533041070562,0.007667541925204835,True
"(2, 0, 1)","(0, 0, 0, 12)",223.01709944793814,240.64436414359704,-106.50854972396907,0.2121098318979924,True
"(2, 0, 1)","(0, 0, 1, 12)",410.4477846098606,431.6005022446513,-199.2238923049303,0.20622540690658991,True
"(2, 0, 1)","(1, 0, 0, 12)",409.2552202424539,430.4079378772446,-198.62761012122695,0.1879205614817244,True
"(2, 0, 1)","(1, 0, 1, 12)",404.20999964830764,428.88817022223014,-195.10499982415382,0.09870734621920173,True
"(2, 0, 2)","(0, 0, 0, 12)",238.79213460259263,259.9448522373833,-113.39606730129631,0.2838878289060775,True
"(2, 0, 2)","(0, 0, 1, 12)",426.25227024498656,450.93044081890906,-206.12613512249328,0.2520482220172119,True
"(2, 0, 2)","(1, 0, 0, 12)",409.34922776475037,434.02739833867287,-197.67461388237518,0.2253799389371989,True
"(2, 0, 2)","(1, 0, 1, 12)",421.69499065791985,449.8986141709741,-202.84749532895992,0.0967024954231083,True
