Modello,Orizzonte,RMSE,MAE,MAPE,Dir_Accuracy,N_Obs
Base_Outliers,1,0.5963929644518325,0.3722143533034178,1116203996.7552443,66.66666666666666,60
Base_Outliers,3,0.5968707313274461,0.3632987765261943,726188334.5958097,61.66666666666667,60
Base_Outliers,6,0.6559604935352185,0.40587464680100377,1663041805.3239605,65.0,60
Base_Outliers,12,0.703314783924676,0.41947398199255287,2391952075.9738317,71.66666666666667,60
GT_Tematico_L1,1,0.6037742962492232,0.3748136341631553,1147804718.090939,64.40677966101694,59
GT_Tematico_L1,3,0.6009105121772207,0.36109972131017387,734246972.664028,62.71186440677966,59
GT_Tematico_L1,6,0.6573646494890353,0.4092556816103461,1666262421.0528984,64.40677966101694,59
GT_Tematico_L1,12,0.7111109298525337,0.42031845223777803,2607414707.902084,64.40677966101694,59
GT_Inflazione_L3,1,0.611729828530998,0.38190332300606666,1114320510.5158806,59.64912280701754,57
GT_Inflazione_L3,3,0.6137413217113837,0.37784191179133525,654469629.2816947,63.1578947368421,57
GT_Inflazione_L3,6,0.663690794598887,0.40615776795124947,1517563840.9391663,63.1578947368421,57
GT_Inflazione_L3,12,0.7150807968152475,0.4271315454897676,2317206814.875833,70.17543859649122,57
GT_Entrambi,1,0.6130699065803523,0.3787090564191754,1127167844.753393,63.1578947368421,57
GT_Entrambi,3,0.6130717101887632,0.3722978024214469,604027442.9283259,63.1578947368421,57
GT_Entrambi,6,0.6598070305621775,0.4032605341260122,1542881222.1193035,61.40350877192983,57
GT_Entrambi,12,0.7165705487265449,0.42228611520930803,2405187038.1499147,66.66666666666666,57
